IDDIST;LONGITUD;LATITUD
060310;-78.17131805;-7.018737793
060311;-78.05796814;-6.881409168
060312;-78.28604126;-6.708791733
060401;-78.64258575;-6.560018063
060402;-78.57524872;-6.33809042
060403;-78.41325378;-6.439897537
060404;-78.7069931;-6.425045013
060405;-78.44852448;-6.284566879
060406;-78.36897278;-6.370058537
060407;-78.85206604;-6.483161449
060408;-78.60241699;-6.470609665
060409;-78.97033691;-6.443752766
060410;-78.72754669;-6.574306488
060411;-79.17295074;-6.539028168
060412;-79.30283356;-6.357775211
060413;-78.39807892;-6.533931732
060414;-78.47841644;-6.183463097
060415;-79.09269714;-6.352152348
060416;-79.24543762;-6.484318256
060417;-78.5562439;-6.39870882
060418;-79.37598419;-6.456839085
060419;-78.4952774;-6.517643452
060501;-78.73680115;-7.334731102
060502;-78.8217392;-7.256371021
060503;-79.0666275;-7.373456478
060504;-78.91782379;-7.364329815
060505;-78.96229553;-7.502797604
060506;-78.86319733;-7.327651501
060507;-78.95010376;-7.275330067
060508;-79.16913605;-7.277616978
060601;-78.83287811;-6.380030632
060602;-78.93093872;-6.127367496
060603;-78.77338409;-5.924723625
060604;-78.55944061;-6.116553307
060605;-78.55437469;-6.216616154
060606;-78.76795959;-6.070892334
060607;-79.09160614;-6.196817398
060608;-78.74227142;-6.224058628
060609;-78.60100555;-6.172169685
060610;-78.58222961;-6.268668652
060611;-78.84141541;-6.106365204
060612;-78.84321594;-6.257993698
060613;-78.67776489;-6.118596077
060614;-78.69659424;-6.287461281
060615;-78.69226837;-5.987938404
060701;-78.47946167;-6.693090439
060702;-78.70823669;-6.685545921
060703;-78.60028839;-6.752677917
060801;-78.85261536;-5.770212173
060802;-78.74258423;-5.564584732
060803;-79.13317871;-5.633826256
060804;-78.97943878;-5.90094471
060805;-78.9056015;-5.604915142
060806;-78.84957886;-5.63638401
060807;-79.19522095;-5.875398636
060808;-79.12371826;-6.040022373
060809;-79.31217957;-5.625578403
060810;-79.3097229;-5.786242485
060811;-79.05497742;-5.517321587
060812;-78.60089111;-5.427716255
060901;-79.00775909;-5.140417099
060902;-78.8828125;-5.307579994
060903;-78.71522522;-5.09644556
060904;-78.97337341;-5.389841557
060905;-79.18106079;-5.107277393
060906;-78.83185577;-4.916018963
060907;-79.21540833;-5.324379921
061001;-78.17134857;-7.329172134
061002;-78.11830139;-7.409485817
061003;-78.14255524;-7.441226006
061004;-78.16139984;-7.222082615
061005;-78.05943298;-7.406054497
061006;-78.0210495;-7.356011868
061007;-77.96812439;-7.226784706
061101;-78.92247009;-7.077506065
061102;-79.16236115;-6.975883961
061103;-78.95305634;-6.913756847
061104;-78.73376465;-6.804270744
061105;-79.00186157;-7.038007736
061106;-79.14903259;-6.868826866
061107;-78.74925995;-6.891409874
061108;-79.24772644;-7.008507729
061109;-79.13150787;-6.926738739
061110;-79.16073608;-7.117966652
061111;-78.72502899;-6.931434631
061112;-78.83338928;-6.788124561
061113;-79.05453491;-7.118936062
061201;-78.78552246;-7.085998535
061202;-78.78568268;-7.17497921
061203;-78.87328339;-7.159076214
061204;-78.67606354;-6.98749733
061301;-78.94158936;-6.627337456
061302;-78.80908966;-6.663858891
061303;-79.07687378;-6.749344349
061304;-78.87747955;-6.555999756
061305;-78.85861206;-6.620732307
061306;-78.76780701;-6.695779324
061307;-78.92140961;-6.746288776
061308;-78.90760803;-6.682578087
061309;-79.03614044;-6.585466385
061310;-78.791008;-6.61489439
061311;-78.84977722;-6.682970524
070101;-77.12136078;-12.0167923
070102;-77.10578918;-12.05961895
070103;-77.09642029;-12.04255962
070104;-77.11758423;-12.07052612
070105;-77.16049957;-12.07184219
070106;-77.13079834;-11.87909412
070107;-77.12280273;-11.85501766
080101;-71.98812866;-13.49261665
080102;-72.08704376;-13.58955288
080103;-72.04237366;-13.50192261
080104;-71.86748505;-13.55743027
080105;-71.92601776;-13.53326988
080106;-71.97800446;-13.57300949
080107;-71.83110046;-13.55297852
080108;-71.94790649;-13.53094769
080201;-71.67276764;-13.89315891
080202;-71.50669098;-14.04708004
080203;-71.73054504;-13.93934536
080204;-71.4790802;-14.10064125
080205;-71.62372589;-14.05361176
080206;-71.765625;-13.78765774
080207;-71.57077789;-13.9539566
080301;-72.15997314;-13.48792171
080302;-72.32266235;-13.46172619
080303;-72.05547333;-13.46348286
080304;-72.27170563;-13.61295509
080305;-72.27643585;-13.36960411
080306;-72.44548035;-13.47509861
080307;-72.62324524;-13.46359062
080308;-72.09317017;-13.48459244
080309;-72.24638367;-13.46563721
080401;-71.95774841;-13.26870918
080402;-71.91570282;-13.40245342
080403;-71.88083649;-13.3220377
080404;-72.02607727;-13.08600712
080405;-71.80841064;-13.38913155
080406;-71.77444458;-13.48824883
080407;-71.88333893;-13.46016502
080408;-72.10504913;-12.79569244
080501;-71.44189453;-14.27377796
080502;-71.47776794;-14.4916048
080503;-71.29116058;-14.55234241
080504;-71.2973938;-14.38535023
080505;-71.09190369;-14.52877426
080506;-71.44566345;-14.14153576
080507;-71.48963165;-14.36571503
080508;-71.52703857;-14.15105438
080601;-71.10354614;-14.25100994
080602;-71.06686401;-14.00595665
080603;-71.33399963;-14.08811665
080604;-71.09567261;-14.37363911
080605;-71.15814209;-13.8887825
080606;-71.08758545;-14.1517458
